year,price,transmission,mileage,fuelType,engineSize
2018,22199.0,Semi-Auto,32809.0,Diesel,2.1
2019,23000.0,Semi-Auto,14627.0,Petrol,1.5
2018,17990.0,Semi-Auto,27000.0,Petrol,2.0
2019,88995.0,Semi-Auto,200.0,Petrol,4.0
2014,14250.0,Automatic,46310.0,Petrol,2.0
2018,25750.0,Semi-Auto,6983.0,Diesel,2.1
2019,41500.0,Semi-Auto,2317.0,Petrol,3.0
2018,25999.0,Automatic,7317.0,Petrol,1.5
2019,27950.0,Automatic,1498.0,Petrol,1.5
2019,31529.0,Semi-Auto,1000.0,Diesel,2.0
2015,10791.0,Manual,129000.0,Diesel,2.1
2014,13290.0,Semi-Auto,46078.0,Petrol,2.0
2014,15998.0,Semi-Auto,34382.0,Diesel,2.1
2017,20091.0,Semi-Auto,24991.0,Diesel,2.1
2015,13998.0,Manual,24010.0,Diesel,1.6
2020,48980.0,Automatic,1941.0,Petrol,3.0
2019,43049.0,Semi-Auto,7351.0,Petrol,3.0
2019,25499.0,Semi-Auto,15414.0,Diesel,2.0
2019,26601.0,Automatic,9949.0,Diesel,2.0
2020,33995.0,Semi-Auto,30.0,Diesel,2.0
2017,18900.0,Automatic,31674.0,Petrol,2.0
2015,15142.0,Semi-Auto,48000.0,Diesel,2.1
2017,17600.0,Automatic,21841.0,Diesel,2.1
2017,23500.0,Semi-Auto,17000.0,Diesel,2.1
2018,26395.0,Semi-Auto,8793.0,Diesel,2.0
2019,31199.0,Semi-Auto,5382.0,Diesel,2.0
2019,24495.0,Semi-Auto,15674.0,Diesel,1.6
2017,17990.0,Automatic,37000.0,Diesel,2.1
2016,16998.0,Semi-Auto,13795.0,Diesel,1.6
2019,36350.0,Automatic,17009.0,Diesel,2.0
2019,26990.0,Semi-Auto,12043.0,Diesel,2.0
2015,15999.0,Semi-Auto,39195.0,Hybrid,2.1
2019,34579.0,Semi-Auto,1000.0,Petrol,1.5
2019,30950.0,Automatic,1218.0,Diesel,2.0
2019,26499.0,Semi-Auto,7060.0,Diesel,2.0
2018,21199.0,Automatic,10815.0,Diesel,2.1
2016,19999.0,Automatic,19299.0,Hybrid,2.0
2019,34255.0,Semi-Auto,2088.0,Petrol,2.0
2017,16481.0,Semi-Auto,43678.0,Diesel,2.1
2019,24990.0,Semi-Auto,7419.0,Diesel,2.0
2019,23499.0,Manual,3162.0,Petrol,1.6
2020,40179.0,Semi-Auto,1000.0,Diesel,2.0
2016,15400.0,Automatic,23881.0,Diesel,2.1
2018,19949.0,Automatic,28059.0,Diesel,2.1
2013,8950.0,Automatic,74157.0,Diesel,2.1
2017,18998.0,Semi-Auto,23760.0,Diesel,2.1
2015,18990.0,Semi-Auto,25199.0,Diesel,2.1
2016,18000.0,Automatic,40267.0,Hybrid,2.0
2019,30999.0,Semi-Auto,7144.0,Diesel,2.0
2018,24499.0,Automatic,11881.0,Diesel,2.1
2016,14398.0,Semi-Auto,29002.0,Diesel,2.1
2015,14200.0,Automatic,22000.0,Petrol,1.6
2018,18390.0,Automatic,11319.0,Diesel,1.6
2019,26866.0,Automatic,5019.0,Petrol,1.5
2015,12000.0,Automatic,40005.0,Diesel,2.1
2018,47099.0,Automatic,11501.0,Petrol,4.0
2019,25980.0,Semi-Auto,6206.0,Petrol,1.5
2016,19698.0,Semi-Auto,41056.0,Diesel,2.1
2019,28825.0,Semi-Auto,8351.0,Diesel,2.0
2017,16500.0,Semi-Auto,14077.0,Diesel,2.1
2018,19991.0,Semi-Auto,20027.0,Diesel,2.1
2017,20495.0,Semi-Auto,13400.0,Petrol,2.0
2017,21440.0,Semi-Auto,13096.0,Diesel,2.1
2017,19250.0,Semi-Auto,23523.0,Diesel,2.1
2016,21505.0,Automatic,16703.0,Diesel,2.1
2019,24980.0,Semi-Auto,4444.0,Petrol,1.5
2018,18500.0,Automatic,24277.0,Diesel,2.1
2015,13362.0,Automatic,74044.0,Diesel,2.1
2017,25092.0,Automatic,22700.0,Diesel,2.1
2019,38999.0,Semi-Auto,3220.0,Petrol,3.0
2019,28466.0,Automatic,3074.0,Petrol,1.5
2016,14698.0,Manual,19864.0,Diesel,2.1
2017,22950.0,Automatic,19000.0,Petrol,2.0
2012,10999.0,Automatic,41239.0,Petrol,1.6
2011,7500.0,Manual,91000.0,Diesel,2.1
2019,19849.0,Semi-Auto,14009.0,Petrol,1.5
2019,29782.0,Automatic,7859.0,Petrol,2.0
2019,12900.0,Manual,3000.0,Diesel,1.5
2017,19995.0,Semi-Auto,36814.0,Petrol,2.0
2019,41870.0,Automatic,7226.0,Diesel,2.0
2017,16750.0,Semi-Auto,20000.0,Diesel,2.1
2016,16000.0,Manual,39877.0,Diesel,1.6
2017,18865.0,Automatic,15021.0,Diesel,2.1
2019,24690.0,Automatic,14864.0,Diesel,2.0
2020,30480.0,Automatic,500.0,Diesel,2.0
2018,18799.0,Automatic,20090.0,Diesel,2.1
2019,19980.0,Semi-Auto,13924.0,Petrol,1.5
2019,54980.0,Automatic,9155.0,Petrol,4.0
2019,23991.0,Semi-Auto,9179.0,Diesel,2.0
2018,29999.0,Semi-Auto,17788.0,Petrol,3.0
2015,14750.0,Semi-Auto,32594.0,Diesel,2.1
2019,24099.0,Automatic,9501.0,Diesel,2.1
2016,19100.0,Automatic,49335.0,Diesel,2.1
2015,16679.0,Automatic,35592.0,Diesel,2.1
2019,27498.0,Automatic,41.0,Petrol,1.5
2017,22597.0,Semi-Auto,23366.0,Diesel,2.1
2020,33998.0,Automatic,2000.0,Diesel,2.0
2014,11290.0,Automatic,48000.0,Diesel,2.1
2014,11133.0,Semi-Auto,61616.0,Diesel,2.1
2016,16990.0,Semi-Auto,35991.0,Diesel,2.1
2016,11300.0,Manual,49604.0,Petrol,2.0
2012,9850.0,Automatic,51737.0,Petrol,1.8
2019,34799.0,Semi-Auto,3435.0,Petrol,1.5
2015,12800.0,Automatic,79011.0,Diesel,2.1
2018,25882.0,Automatic,12145.0,Diesel,2.1
2019,27400.0,Semi-Auto,11723.0,Diesel,2.0
2018,19399.0,Automatic,22078.0,Diesel,2.1
2019,37321.0,Automatic,50.0,Diesel,1.6
2019,33699.0,Automatic,5428.0,Petrol,2.0
2017,21000.0,Automatic,27566.0,Diesel,2.1
2019,23999.0,Automatic,9323.0,Petrol,1.5
2018,22766.0,Automatic,4200.0,Petrol,2.0
2019,25980.0,Semi-Auto,11395.0,Petrol,1.5
2019,19999.0,Semi-Auto,14514.0,Diesel,2.0
2019,21980.0,Semi-Auto,5572.0,Petrol,1.5
2019,28980.0,Automatic,8501.0,Diesel,2.0
2015,17498.0,Semi-Auto,42471.0,Hybrid,2.1
2019,21899.0,Semi-Auto,2000.0,Diesel,1.6
2017,21544.0,Automatic,16900.0,Diesel,2.1
2015,17290.0,Semi-Auto,24923.0,Diesel,2.1
2019,27980.0,Semi-Auto,14742.0,Diesel,2.0
2015,15975.0,Automatic,41567.0,Hybrid,2.1
2019,22740.0,Automatic,17132.0,Diesel,2.0
2016,14441.0,Semi-Auto,49101.0,Petrol,2.0
2019,26480.0,Semi-Auto,11487.0,Diesel,2.0
2019,24299.0,Semi-Auto,12546.0,Diesel,2.0
2019,30240.0,Automatic,4999.0,Diesel,2.0
2019,30949.0,Semi-Auto,2983.0,Diesel,2.0
2019,32429.0,Semi-Auto,1000.0,Diesel,2.0
2017,20871.0,Semi-Auto,37194.0,Diesel,2.1
2016,18950.0,Automatic,32720.0,Diesel,2.1
2017,31349.0,Semi-Auto,16915.0,Petrol,3.0
2016,19750.0,Semi-Auto,31467.0,Diesel,2.1
2019,33599.0,Semi-Auto,1000.0,Petrol,2.0
2016,13498.0,Manual,32174.0,Diesel,2.1
2015,16000.0,Automatic,18263.0,Petrol,2.0
2019,34579.0,Semi-Auto,1000.0,Petrol,1.5
2019,29980.0,Semi-Auto,8709.0,Diesel,2.0
2019,23499.0,Manual,712.0,Petrol,1.6
2014,14795.0,Automatic,20417.0,Petrol,2.0
2018,23799.0,Semi-Auto,3640.0,Petrol,2.0
2019,19799.0,Semi-Auto,14422.0,Petrol,1.5
2016,14998.0,Semi-Auto,66732.0,Hybrid,2.1
2014,10995.0,Manual,98000.0,Diesel,2.1
2019,25549.0,Semi-Auto,15144.0,Diesel,2.0
2015,18498.0,Semi-Auto,29817.0,Diesel,2.1
2018,25990.0,Semi-Auto,9699.0,Petrol,2.0
2018,19999.0,Automatic,25396.0,Diesel,2.1
2017,19980.0,Automatic,46295.0,Diesel,2.1
2016,24890.0,Semi-Auto,25002.0,Diesel,2.1
2017,15499.0,Semi-Auto,22040.0,Diesel,2.1
2016,21600.0,Semi-Auto,33028.0,Diesel,2.1
2016,36950.0,Automatic,18000.0,Petrol,4.0
2019,39950.0,Semi-Auto,6641.0,Petrol,3.0
2017,20700.0,Automatic,23434.0,Petrol,2.0
2019,37890.0,Automatic,4404.0,Petrol,3.0
2016,16990.0,Semi-Auto,35394.0,Diesel,2.1
2019,45980.0,Semi-Auto,3999.0,Petrol,3.0
2017,35420.0,Semi-Auto,24057.0,Petrol,4.0
2019,28000.0,Semi-Auto,1999.0,Petrol,2.0
2017,25798.0,Semi-Auto,9676.0,Diesel,2.1
2016,31649.0,Semi-Auto,29810.0,Petrol,4.0
2015,14999.0,Automatic,52500.0,Diesel,2.1
2019,26176.0,Semi-Auto,9463.0,Petrol,1.5
2019,31890.0,Semi-Auto,89.0,Diesel,1.6
2016,25290.0,Automatic,23274.0,Petrol,2.0
2016,16998.0,Semi-Auto,38830.0,Diesel,2.1
2012,7495.0,Automatic,115000.0,Diesel,2.1
2018,21800.0,Automatic,7540.0,Petrol,1.5
2017,22449.0,Semi-Auto,44998.0,Diesel,2.1
2019,69679.0,Semi-Auto,1000.0,Petrol,4.0
2019,19849.0,Semi-Auto,14084.0,Petrol,1.5
2019,26899.0,Semi-Auto,2000.0,Petrol,1.5
2019,29999.0,Semi-Auto,5979.0,Petrol,2.0
2020,31590.0,Automatic,1452.0,Diesel,2.0
2019,25995.0,Automatic,10051.0,Diesel,2.0
2017,23047.0,Semi-Auto,8143.0,Diesel,2.1
2019,29498.0,Semi-Auto,2195.0,Diesel,2.0
2019,25299.0,Semi-Auto,10061.0,Petrol,1.5
2019,22995.0,Semi-Auto,4374.0,Petrol,1.5
2019,26499.0,Semi-Auto,7795.0,Petrol,1.5
2019,59998.0,Automatic,3405.0,Petrol,4.0
2019,40000.0,Semi-Auto,4504.0,Petrol,3.0
2018,23790.0,Automatic,16500.0,Petrol,2.0
2019,30899.0,Automatic,860.0,Petrol,1.5
2014,12990.0,Manual,52000.0,Diesel,2.1
2016,19999.0,Semi-Auto,15000.0,Diesel,2.1
2015,13790.0,Automatic,54000.0,Petrol,2.0
2019,19980.0,Semi-Auto,14307.0,Petrol,1.5
2018,22699.0,Semi-Auto,20001.0,Diesel,2.1
2019,31998.0,Automatic,4000.0,Diesel,2.0
2019,25549.0,Semi-Auto,14995.0,Diesel,2.0
2019,24995.0,Automatic,11664.0,Petrol,1.5
2019,26349.0,Semi-Auto,10299.0,Diesel,2.0
2017,23952.0,Automatic,20142.0,Diesel,2.1
2019,22678.0,Automatic,15133.0,Diesel,2.0
2019,30490.0,Automatic,4759.0,Diesel,2.0
2019,25890.0,Automatic,4074.0,Petrol,1.5
2019,29980.0,Semi-Auto,16.0,Petrol,1.5
2016,15999.0,Automatic,44617.0,Diesel,2.1
2019,25799.0,Semi-Auto,200.0,Petrol,1.5
2019,29950.0,Semi-Auto,9613.0,Diesel,2.0
2016,16000.0,Manual,34903.0,Diesel,2.1
2017,20999.0,Automatic,5338.0,Hybrid,2.0
2019,57998.0,Semi-Auto,10.0,Petrol,4.0
2015,13498.0,Manual,14480.0,Petrol,2.0
2019,28250.0,Automatic,3477.0,Diesel,2.0
2017,21490.0,Semi-Auto,54000.0,Diesel,2.1
2019,35049.0,Semi-Auto,1000.0,Petrol,1.5
2018,19998.0,Semi-Auto,15383.0,Petrol,1.5
2019,23399.0,Automatic,3816.0,Petrol,1.5
2019,38699.0,Semi-Auto,3668.0,Petrol,3.0
2016,17820.0,Semi-Auto,30748.0,Diesel,2.1
2019,24950.0,Automatic,7006.0,Petrol,1.5
2019,25490.0,Automatic,13101.0,Diesel,2.0
2018,23600.0,Automatic,18834.0,Petrol,2.0
2019,25799.0,Semi-Auto,200.0,Petrol,1.5
2019,29549.0,Semi-Auto,9053.0,Petrol,2.0
2019,25389.0,Semi-Auto,8639.0,Petrol,1.5
2019,27980.0,Semi-Auto,4833.0,Diesel,1.6
2019,29998.0,Semi-Auto,28000.0,Petrol,2.0
2017,20995.0,Automatic,32664.0,Petrol,2.0
2019,19980.0,Semi-Auto,13891.0,Petrol,1.5
2019,35499.0,Semi-Auto,1023.0,Petrol,1.5
2017,17599.0,Semi-Auto,21516.0,Diesel,2.1
2016,19170.0,Automatic,35620.0,Petrol,2.0
2018,28049.0,Semi-Auto,9977.0,Diesel,2.0
2015,14000.0,Automatic,70857.0,Diesel,2.1
2015,16990.0,Semi-Auto,36798.0,Diesel,2.1
2013,9490.0,Automatic,68000.0,Diesel,2.1
2016,20500.0,Semi-Auto,17410.0,Diesel,2.1
2017,23890.0,Semi-Auto,23479.0,Petrol,2.0
2017,17980.0,Semi-Auto,32259.0,Diesel,2.1
2016,20991.0,Semi-Auto,26205.0,Diesel,2.1
2019,25499.0,Semi-Auto,13896.0,Petrol,1.5
2019,24299.0,Automatic,5098.0,Petrol,1.5
2020,54995.0,Semi-Auto,1499.0,Petrol,3.0
2017,33612.0,Automatic,20134.0,Petrol,3.0
2019,26999.0,Semi-Auto,8714.0,Diesel,2.0
2018,24991.0,Automatic,6001.0,Petrol,2.0
2020,28990.0,Automatic,3458.0,Petrol,1.5
2019,29995.0,Semi-Auto,21.0,Diesel,2.0
2019,26999.0,Semi-Auto,9568.0,Diesel,2.0
2015,16998.0,Semi-Auto,26273.0,Petrol,2.0
2019,26998.0,Automatic,6000.0,Petrol,1.6
2019,29999.0,Semi-Auto,4843.0,Diesel,2.0
2016,14999.0,Automatic,40814.0,Diesel,1.6
2019,29903.0,Automatic,1664.0,Diesel,2.0
2017,17980.0,Semi-Auto,38609.0,Diesel,2.1
2020,33400.0,Semi-Auto,213.0,Diesel,2.0
2019,29799.0,Automatic,7621.0,Diesel,2.0
2019,29890.0,Automatic,1499.0,Diesel,1.6
2017,20099.0,Semi-Auto,28408.0,Diesel,2.1
2019,32399.0,Automatic,5415.0,Petrol,2.0
2019,33789.0,Semi-Auto,1000.0,Diesel,2.0
2015,16199.0,Semi-Auto,21539.0,Diesel,2.1
2013,9991.0,Semi-Auto,66419.0,Petrol,1.6
2014,10999.0,Automatic,53386.0,Diesel,2.1
2019,33799.0,Semi-Auto,2014.0,Diesel,2.0
2019,62199.0,Semi-Auto,95.0,Petrol,4.0
2017,40980.0,Semi-Auto,22547.0,Petrol,4.0
2019,29599.0,Semi-Auto,8746.0,Diesel,2.0
2016,17443.0,Semi-Auto,55877.0,Diesel,2.1
2016,13950.0,Manual,48128.0,Diesel,2.1
2010,4495.0,Automatic,106032.0,Petrol,1.8
2018,21492.0,Semi-Auto,10267.0,Diesel,2.1
2019,23879.0,Manual,1000.0,Petrol,1.6
2014,9990.0,Automatic,78000.0,Diesel,2.1
2019,28950.0,Automatic,8500.0,Diesel,2.0
2019,25549.0,Semi-Auto,15074.0,Diesel,2.0
2015,16499.0,Automatic,33707.0,Diesel,2.1
2015,12000.0,Automatic,40005.0,Diesel,2.1
2018,26000.0,Semi-Auto,19800.0,Petrol,2.0
2017,18450.0,Semi-Auto,35000.0,Hybrid,2.0
2016,18349.0,Semi-Auto,33456.0,Diesel,2.1
2017,20672.0,Semi-Auto,22842.0,Diesel,2.1
2019,30759.0,Automatic,1000.0,Diesel,2.0
2019,52000.0,Automatic,5072.0,Petrol,4.0
2017,29302.0,Semi-Auto,23988.0,Petrol,3.0
2019,25449.0,Semi-Auto,13193.0,Petrol,1.5
2019,24500.0,Semi-Auto,9200.0,Petrol,1.5
2015,16299.0,Automatic,25958.0,Diesel,2.1
2018,26189.0,Semi-Auto,8069.0,Diesel,2.1
2019,32069.0,Semi-Auto,1000.0,Diesel,2.0
2019,30299.0,Semi-Auto,2230.0,Diesel,2.0
2019,28315.0,Semi-Auto,10042.0,Diesel,2.0
2016,19498.0,Semi-Auto,24756.0,Diesel,2.1
2016,19690.0,Semi-Auto,38087.0,Diesel,2.1
2017,24502.0,Semi-Auto,22079.0,Diesel,2.1
2017,17990.0,Semi-Auto,42000.0,Diesel,2.1
2019,26500.0,Semi-Auto,5678.0,Diesel,2.0
2020,39991.0,Semi-Auto,1173.0,Diesel,2.0
2019,31999.0,Automatic,4999.0,Diesel,2.0
2015,12999.0,Manual,47709.0,Diesel,2.1
2018,26799.0,Semi-Auto,7466.0,Petrol,2.0
2019,24992.0,Automatic,8238.0,Petrol,1.5
2016,13300.0,Manual,42622.0,Diesel,2.1
2018,26281.0,Semi-Auto,10997.0,Diesel,2.1
2019,37790.0,Semi-Auto,2200.0,Petrol,3.0
2016,18799.0,Semi-Auto,26428.0,Diesel,2.1
2019,25980.0,Semi-Auto,11412.0,Petrol,1.5
2019,25122.0,Semi-Auto,13852.0,Diesel,2.0
2016,16991.0,Semi-Auto,57881.0,Diesel,2.1
2016,18849.0,Semi-Auto,25199.0,Diesel,2.1
2016,26495.0,Semi-Auto,22456.0,Petrol,3.0
2016,22765.0,Automatic,25178.0,Diesel,2.1
2016,16475.0,Manual,40569.0,Diesel,2.1
2019,26280.0,Semi-Auto,11923.0,Diesel,2.0
2017,15690.0,Semi-Auto,35488.0,Diesel,2.1
2017,15990.0,Automatic,49000.0,Diesel,2.1
2019,23444.0,Automatic,10284.0,Diesel,2.0
2019,27490.0,Automatic,5479.0,Diesel,2.0
2019,29650.0,Automatic,5653.0,Diesel,1.6
2017,43082.0,Automatic,16386.0,Petrol,4.0
2016,15990.0,Automatic,65000.0,Diesel,2.1
2019,31699.0,Semi-Auto,3723.0,Diesel,2.0
2016,19498.0,Semi-Auto,24111.0,Hybrid,2.0
2019,30099.0,Semi-Auto,4701.0,Diesel,1.6
2019,30980.0,Semi-Auto,4288.0,Diesel,1.6
2019,42490.0,Semi-Auto,8806.0,Petrol,3.0
2017,17499.0,Automatic,28609.0,Hybrid,2.0
2019,25499.0,Semi-Auto,15175.0,Diesel,2.0
2019,30299.0,Semi-Auto,5915.0,Petrol,2.0
2016,14495.0,Automatic,50995.0,Diesel,1.6
2016,13490.0,Automatic,99217.0,Diesel,2.1
2015,12495.0,Semi-Auto,50374.0,Diesel,2.1
2019,30450.0,Automatic,4999.0,Diesel,2.0
2018,25999.0,Automatic,10913.0,Diesel,2.1
2016,21099.0,Semi-Auto,9272.0,Diesel,2.1
2019,29998.0,Semi-Auto,8520.0,Diesel,2.0
2016,14390.0,Semi-Auto,36836.0,Diesel,1.6
2012,8450.0,Automatic,86663.0,Petrol,1.6
2017,16350.0,Semi-Auto,14893.0,Diesel,1.6
2019,25699.0,Semi-Auto,14936.0,Diesel,2.0
2018,27449.0,Automatic,7322.0,Diesel,2.0
2018,21342.0,Semi-Auto,6721.0,Petrol,1.5
2014,13950.0,Semi-Auto,39204.0,Diesel,2.1
2017,20990.0,Semi-Auto,19733.0,Petrol,2.0
2016,14500.0,Semi-Auto,40620.0,Diesel,1.6
2019,33998.0,Semi-Auto,1558.0,Petrol,1.5
2017,14307.0,Manual,25820.0,Petrol,2.0
2020,31980.0,Semi-Auto,16.0,Diesel,2.0
2014,11300.0,Automatic,49865.0,Diesel,2.1
2018,27449.0,Semi-Auto,5532.0,Petrol,2.0
2019,47999.0,Semi-Auto,8456.0,Petrol,3.0
2017,20495.0,Automatic,26367.0,Petrol,2.0
2019,29449.0,Semi-Auto,9970.0,Diesel,2.0
2019,20149.0,Semi-Auto,11785.0,Petrol,1.5
2013,11499.0,Automatic,69900.0,Diesel,2.1
2019,31216.0,Automatic,4463.0,Diesel,2.0
2016,19990.0,Automatic,31090.0,Diesel,2.1
2015,16260.0,Semi-Auto,18025.0,Diesel,2.1
2019,46390.0,Automatic,2750.0,Petrol,3.0
2017,27799.0,Semi-Auto,9880.0,Petrol,2.0
2019,28199.0,Semi-Auto,10452.0,Diesel,2.0
2017,17750.0,Automatic,26904.0,Hybrid,2.0
2018,18998.0,Semi-Auto,15075.0,Petrol,2.0
